'Cold-shock' DNA-binding domain	PF00313
Histone RNA hairpin-binding protein RNA-binding domain	PF15247
Histone acetyl transferase HAT1 N-terminus	PF10394
Histone acetylation protein	PF08214
Histone acetyltransferase subunit NuA4	PF09340
Histone acetyltransferases subunit 3	PF10198
Histone chaperone Rttp106-like	PF08512
Histone chaperone domain CHZ	PF09649
Histone deacetylase complex subunit SAP130 C-terminus	PF16014
Histone deacetylase complex subunit SAP25	PF15476
Histone deacetylase domain	PF00850
Histone deacetylation protein Rxt3	PF08642
Histone lysine methyltransferase SET associated	PF11767
Histone methylation protein DOT1	PF08123
Histone-binding protein RBBP4 or subunit C of CAF1 complex	PF12265
Histone-fold protein	PF17027
Histone-like transcription factor (CBF/NF-Y) and archaeal histone	PF00808
Histone_H2A_C	PF16211
Histone_HNS	PF00816
Hjc	PF01870
HlyC	PF02794
HlyD	PF00529
HlyD family secretion protein	PF12700
HlyD family secretion protein	PF13437
HlyD membrane-fusion protein of T1SS	PF00529
HlyD_2	PF12700
HlyD_3	PF13437
HlyD_D23	PF16576
HlyD_D4	PF16572
HlyE	PF06109
HlyIII	PF03006
HlyU	PF10115
HmuY	PF14064
HmuY protein	PF14064
HnRNPA1	PF11627
HnRNP_M	PF11532
HobA	PF12163
Hok/gef family	PF01848
Hol_Tox	PF16935
Holin of 3TMs, for gene-transfer release	PF11351
Holin_2-3	PF13272
Holin_9	PF16936
Holin_BhlA	PF10960
Holin_BlyA	PF05102
Holin_SPP1	PF04688
Holliday junction DNA helicase ruvB C-terminus	PF05491
Holliday junction DNA helicase ruvB N-terminus	PF05496
Holliday junction recognition protein-associated repeat	PF12346
Holliday junction regulator protein family C-terminal repeat	PF12347
Holliday junction resolvase	PF03652
Holliday-junction resolvase-like of SPT6	PF14639
Hom_end	PF05204
Hom_end-associated Hint	PF05203
Hom_end_hint	PF05203
Homeo-prospero domain	PF05044
Homeobox	PF00046
Homeobox KN domain	PF05920
Homeobox associated leucine zipper	PF02183
Homeobox domain	PF00046
Homeobox protein	PF12407
Homeobox protein distal-less-like N terminal	PF12413
Homeobox_KN	PF05920
Homeodomain leucine-zipper encoding, Homez	PF11569
Homeodomain-like domain	PF13384
Homeodomain-like domain	PF13565
Homer-binding domain of metabotropic glutamate receptor	PF10606
Homez	PF11569
Homing endonuclease	PF05204
Homocysteine S-methyltransferase	PF02574
Homocysteine biosynthesis enzyme, sulfur-incorporation	PF01837
Homodimerisation domain of SGTA	PF16546
Homodimerisation region of STAR domain protein	PF16544
Homologues of TraJ from Bacteroides conjugative transposon	PF07863
Homoserine O-succinyltransferase	PF04204
Homoserine dehydrogenase	PF00742
Homoserine dehydrogenase, NAD binding domain	PF03447
Homoserine_dh	PF00742
Homotrimeric ring hydroxylase	PF11723
HopJ	PF08888
HopJ type III effector protein	PF08888
HopW1-1	PF15457
Hormone receptor domain	PF02793
Hormone-sensitive lipase (HSL) N-terminus	PF06350
Hormone_1	PF00103
Hormone_2	PF00123
Hormone_3	PF00159
Hormone_4	PF00220
Hormone_5	PF00184
Hormone_6	PF00236
Hormone_recep	PF00104
Host cell surface-exposed lipoprotein	PF07553
Host-nuclease inhibitor protein Gam	PF06064
Host_attach	PF10116
Hox protein A13 N terminal	PF12284
Hox9 activation region	PF04617
Hox9_act	PF04617
HoxA13_N	PF12284
HpaB	PF03241
HpaB_N	PF11794
HpaII restriction endonuclease	PF09561
HpaP	PF09483
HpcH/HpaI aldolase/citrate lyase family	PF03328
HpcH_HpaI	PF03328
Hph	PF13694
Hpr_kinase_C	PF07475
Hpr_kinase_N	PF02603
Hpre_diP_synt_I	PF07456
Hpt	PF01627
Hpt domain	PF01627
HpuA	PF16960
Hr1 repeat	PF02185
HrcA	PF01628
HrcA protein C terminal domain	PF01628
HrcA_DNA-bdg	PF03444
HrpA pilus formation protein	PF09589
HrpA_pilin	PF09589
HrpB1_HrpK	PF09613
HrpB2	PF09487
HrpB4	PF09502
HrpB7	PF09486
HrpB_C	PF08482
HrpE	PF06188
HrpE/YscL/FliH and V-type ATPase subunit E	PF06188
HrpF	PF06266
HrpF protein	PF06266
HrpJ	PF07201
HrpJ-like domain	PF07201
HrpZ	PF04877
Hrs_helical	PF12210
Hs1pro-1 N-terminus	PF07231
Hs1pro-1 protein C-terminus	PF07014
Hs1pro-1_C	PF07014
Hs1pro-1_N	PF07231
HsbA	PF12296
HsdM N-terminal domain	PF12161
HsdM_N	PF12161
Hsp20/alpha crystallin family	PF00011
Hsp33 protein	PF01430
Hsp70 protein	PF00012
Hsp90 protein	PF00183
HtaA	PF04213
Htaa	PF04213
HtrL_YibB	PF09612
Hum_adeno_E3A	PF05393
Human Cytomegalovirus UL139 protein	PF12507
Human adenovirus early E3A glycoprotein	PF05393
Human adult T cell leukemia/lymphoma virus protein	PF12233
Human growth factor-like EGF	PF12661
Human herpesvirus 6 immediate early protein	PF03753
Human herpesvirus U15 protein	PF05613
Human herpesvirus U26 protein	PF07402
Human herpesvirus U55 protein	PF06501
Humanin	PF15040
Humanin family	PF15040
Huntingtin protein region	PF12372
HupE / UreJ protein	PF04955
HupE / UreJ protein	PF13795
HupE_UreJ	PF04955
HupE_UreJ_2	PF13795
HupF/HypC family	PF01455
HupF_HypC	PF01455
HupH hydrogenase expression protein, C-terminal conserved region	PF04809
HupH_C	PF04809
Hus1	PF04005
Hus1-like protein	PF04005
HutD	PF05962
HutD	PF05962
HutP	PF09021
HutP	PF09021
Huwentoxin-II family	PF08089
HxlR	PF01638
HxlR-like helix-turn-helix	PF01638
HxxPF-repeated domain	PF13745
HxxPF_rpt	PF13745
HyaE	PF07449
Hyaluronan / mRNA binding family	PF04774
Hyaluronan mediated motility receptor C-terminal	PF15908
Hyaluronan mediated motility receptor N-terminal	PF15905
Hyaluronidase	PF01630
Hyaluronidase protein (HylP)	PF07212
Hyaluronidase_1	PF07212
HycA_repressor	PF11046
HycH	PF07450
HycI	PF01750
Hyccin	PF09790
Hyccin	PF09790
Hyd_WA	PF06462
Hydant_A_N	PF05378
Hydantoinase B/oxoprolinase	PF02538
Hydantoinase/oxoprolinase	PF01968
Hydantoinase/oxoprolinase N-terminal region	PF05378
Hydantoinase_A	PF01968
Hydantoinase_B	PF02538
Hydrogenase formation hypA family	PF01924
Hydrogenase maturation protease	PF01750
Hydrogenase-1 expression protein HyaE	PF07449
Hydrogenase/urease nickel incorporation, metallochaperone, hypA	PF01155
Hydrolase	PF00702
Hydrolase of X-linked nucleoside diphosphate N terminal	PF12535
Hydrolase_2	PF07486
Hydrolase_3	PF08282
Hydrolase_4	PF12146
Hydrolase_6	PF13344
Hydrolase_like	PF13242
Hydrolethalus syndrome protein 1 C-terminus	PF15311
Hydrolytic ATP binding site of dynein motor region D1	PF12774
Hydrophob_seed	PF14547
Hydrophobic abundant protein (HAP)	PF03866
Hydrophobic seed protein	PF14547
Hydrophobic surface binding protein A	PF12296
Hydrophobin	PF01185
Hydrophobin_2	PF06766
Hydroxyacylglutathione hydrolase C-terminus	PF16123
Hydroxyethylthiazole kinase family	PF02110
Hydroxymethylglutaryl-coenzyme A reductase	PF00368
Hydroxymethylglutaryl-coenzyme A synthase C terminal	PF08540
Hydroxymethylglutaryl-coenzyme A synthase N terminal	PF01154
Hydroxyphenylpyruvate dioxygenase, HPPD, N-terminal	PF14696
HypA	PF01155
HypD	PF01924
HypF finger	PF07503
Hyphal_reg_CWP	PF11765
Hyphally regulated cell wall GPI-anchored protein 1	PF15789
Hyphally regulated cell wall protein N-terminal	PF11765
Hypoth_Ymh	PF09509
Hypothetical bacterial integral membrane protein (Trep_Strep)	PF09605
Hypothetical chloroplast protein Ycf34	PF10718
Hypothetical glycoside hydrolase 5	PF14872
Hypothetical glycosyl hydrolase 6	PF14871
Hypothetical glycosyl hydrolase family 13	PF14883
Hypothetical glycosyl hydrolase family 15	PF14885
Hypothetical lipoprotein (MG045 family)	PF02030
Hypothetical methyltransferase	PF05148
Hypothetical protein (DUF2410)	PF10307
Hypothetical protein (DUF2513)	PF10711
Hypothetical protein FLILHELTA	PF10306
Hypothetical protein Yopt	PF09467
Hypothetical protein Yqai	PF09466
Hypothetical protein of unknown function (DUF2482)	PF10655
Hypothetical protein of unknown function (DUF2483)	PF10656
Hypoxia induced protein conserved region	PF04588
Hypoxia-inducible factor-1	PF11413
Hypoxia-inducible lipid droplet-associated	PF15220
Hyr1	PF15789
I-kappa-kinase-beta NEMO binding domain	PF12179
I-set	PF07679
I/LWEQ domain	PF01608
IAP-like protein p27 C-terminus	PF06556
IATP	PF04568
IBB	PF01749
IBD	PF10416
IBN_N	PF03810
IBP39	PF11422
IBR	PF01485
IBR domain, a half RING-finger domain	PF01485
IBV 3A protein	PF03617
IBV 3B protein	PF03622
IBV 3C protein	PF03620
IBV_3A	PF03617
IBV_3B	PF03622
IBV_3C	PF03620
ICA69	PF04629
ICAM_N	PF03921
ICAP-1_inte_bdg	PF10480
ICAT	PF06384
ICE2	PF08426
ICE2	PF08426
ICEA	PF05315
ICEA Protein	PF05315
ICL	PF00463
ICMT	PF04140
ICOS V-set domain	PF15910
ICP0-binding domain of Ubiquitin-specific protease 7	PF12436
IDEAL	PF08858
IDEAL domain	PF08858
IDH	PF03971
IDO	PF01231
IEC3 subunit of the Ino80 complex, chromatin re-modelling	PF14612
IER	PF05760
IF-2	PF11987
IF-2B	PF01008
IF2_N	PF04760
IF2_assoc	PF08364
IF3_C	PF00707
IF3_N	PF05198
IF4E	PF01652
IFN-gamma	PF00714
IFNGR1	PF07140
IFP_35_N	PF07334
IFR3_antag	PF14754
IFRD	PF05004
IFRD_C	PF04836
IFS	PF16718
IFT20	PF14931
IFT43	PF15305
IFT46_B_C	PF12317
IFT57	PF10498
IG-like fold at C-terminal of FixG, putative oxidoreductase	PF11614
IGF2_C	PF08365
IGFBP	PF00219
IGFL	PF14653
IGP family C-type lectin domain	PF16825
IGPD	PF00475
IGPS	PF00218
IGR	PF09597
IGR protein motif	PF09597
IHABP4_N	PF16174
IHHNV_capsid	PF16530
IIGP	PF05049
IKI3	PF04762
IKI3 family	PF04762
IKKbetaNEMObind	PF12179
IL1	PF00340
IL10	PF00726
IL11	PF07400
IL12	PF03039
IL12p40_C	PF10420
IL13	PF03487
IL15	PF02372
IL17	PF06083
IL17R_D_N	PF16742
IL17R_fnIII_D1	PF16556
IL17R_fnIII_D2	PF16578
IL17_R_N	PF15037
IL1_propep	PF02394
IL2	PF00715
IL22	PF14565
IL23	PF16649
IL28A	PF15177
IL3	PF02059
IL31	PF15209
IL32	PF15225
IL33	PF15095
IL34	PF15036
IL4	PF00727
IL4Ra_N	PF09238
IL5	PF02025
IL6	PF00489
IL6Ra-bind	PF09240
IL7	PF01415
IL8	PF00048
ILEI	PF15711
ILVD_EDD	PF00920
IMCp	PF12314
IMD	PF08397
IMP cyclohydrolase-like protein	PF07826
IMP dehydrogenase / GMP reductase domain	PF00478
IMP-specific 5'-nucleotidase	PF06437
IMPDH	PF00478
IMP_cyclohyd	PF07826
IMS	PF00817
IMS family HHH motif	PF11798
IMS_C	PF11799
IMS_HHH	PF11798
IMUP	PF15761
INCA1	PF15142
INCA1	PF15142
INCENP_ARK-bind	PF03941
INCENP_N	PF12178
ING	PF12998
INO80 complex subunit Ies4	PF08193
INO80_Ies4	PF08193
INPP5B_PH	PF16776
INSC_LBD	PF16748
INSIG	PF07281
INTAP	PF16617
INTS2	PF14750
INTS5_C	PF14838
INTS5_N	PF14837
INTS6/SAGE1/DDX26B/CT45 C-terminus	PF15300
INT_SG_DDX_CT_C	PF15300
IN_DBD_C	PF00552
IPI_T4	PF11634
IPK	PF03770
IPP transferase	PF01715
IPP-2	PF04979
IPPT	PF01715
IPT	PF01745
IPT/TIG domain	PF01833
IP_trans	PF02121
IQ	PF00612
IQ calmodulin-binding motif	PF00612
IQCJ-SCHIP1	PF15157
IQ_SEC7_PH	PF16453
IR1-M	PF12185
IRF	PF00605
IRF-2BP1_2	PF11261
IRF-3	PF10401
IRK	PF01007
IRK_N	PF08466
IRS	PF02174
IRSp53/MIM homology domain	PF08397
IS1 transposase	PF03400
IS66 C-terminal element	PF13817
IS66 Orf2 like protein	PF05717
ISAV_HA	PF06215
ISET-FN3_linker	PF16625
ISG65-75	PF11727
ISK_Channel	PF02060
ISN1	PF06437
ISXO2-like transposase domain	PF12762
ITAM	PF02189
ITAM_Cys-rich	PF10538
ITI_HC_C	PF06668
IU_nuc_hydro	PF01156
IZUMO	PF15005
I_LWEQ	PF01608
IalB	PF06776
Ibs_toxin	PF13956
Ice nucleation protein repeat	PF00818
IceA2	PF05862
Ice_nucleation	PF00818
IclR	PF01614
IclR helix-turn-helix domain	PF09339
IcmF-related	PF06761
IcmF_C	PF06744
Ifi-6-16	PF06140
Ig-like C2-type domain	PF06328
Ig-like domain from next to BRCA1 gene	PF16158
Ig-like domain on T-cell surface glycoprotein CD3 epsilon chain	PF16681
IgA Peptidase M64	PF09471
IgG_binding_B	PF01378
Ig_2	PF13895
Ig_3	PF13927
Ig_4	PF16680
Ig_5	PF16681
Ig_J_chain	PF15097
Ig_Tie2_1	PF10430
IgaA	PF07095
IglC	PF11550
Iguana/Dzip1-like DAZ-interacting protein N-terminal	PF13815
Il2rg	PF15874
Ilar_coat	PF01787
Ilarvirus coat protein	PF01787
Ilm1	PF10311
IlvB leader peptide	PF08049
IlvB_leader	PF08049
IlvC	PF01450
IlvGEDA operon leader peptide	PF08046
IlvGEDA_leader	PF08046
IlvN	PF07991
Ima1 N-terminal domain	PF09779
Ima1_N	PF09779
ImcF-related N-terminal domain	PF14331
ImcF-related_N	PF14331
Imelysin	PF09375
Img2	PF05046
Imidazoleglycerol-phosphate dehydratase	PF00475
Imm-NTF2	PF15655
Imm-NTF2-2	PF15631
Imm1	PF14430
Imm10	PF15588
Imm12	PF15560
Imm15	PF15561
Imm17	PF15562
Imm19	PF15563
Imm2	PF14426
Imm21	PF15589
Imm25	PF15564
Imm26	PF15428
Imm27	PF15590
Imm3	PF14425
Imm30	PF15565
Imm31	PF15591
Imm32	PF15566
Imm35	PF15567
Imm39	PF15568
Imm40	PF15569
Imm41	PF15592
Imm42	PF15593
Imm43	PF15570
Imm44	PF15571
Imm45	PF15572
Imm47	PF15573
Imm48	PF15574
Imm49	PF15575
Imm5	PF14423
Imm50	PF15594
Imm51	PF15595
Imm52	PF15579
Imm53	PF15580
Imm57	PF15596
Imm58	PF15581
Imm59	PF15597
Imm6	PF14434
Imm61	PF15598
Imm63	PF15599
Imm64	PF15600
Imm65	PF15582
Imm68	PF15583
Imm7	PF15585
Imm70	PF15601
Imm71	PF15602
Imm72	PF15584
Imm74	PF15603
Imm75	PF15660
Imm8	PF15586
Imm9	PF15587
ImmE5	PF11480
Imm_superinfect	PF14373
Immediate early response protein (IER)	PF05760
Immortalisation up-regulated protein	PF15761
Immune evasion protein	PF12216
Immune inhibitor A peptidase M6	PF05547
Immunity factor for SPN	PF16718
Immunity protein 10	PF15588
Immunity protein 12	PF15560
Immunity protein 15	PF15561
Immunity protein 17	PF15562
Immunity protein 19	PF15563
Immunity protein 21	PF15589
Immunity protein 22	PF14112
Immunity protein 25	PF15564
Immunity protein 26	PF15428
Immunity protein 27	PF15590
Immunity protein 30	PF15565
Immunity protein 31	PF15591
Immunity protein 32	PF15566
Immunity protein 35	PF15567
Immunity protein 39	PF15568
Immunity protein 40	PF15569
Immunity protein 41	PF15592
Immunity protein 42	PF15593
Immunity protein 43	PF15570
Immunity protein 44	PF15571
Immunity protein 45	PF15572
Immunity protein 47	PF15573
Immunity protein 48	PF15574
Immunity protein 49	PF15575
Immunity protein 50	PF15594
Immunity protein 51	PF15595
Immunity protein 52	PF15579
Immunity protein 53	PF15580
Immunity protein 57	PF15596
Immunity protein 58	PF15581
Immunity protein 59	PF15597
Immunity protein 61	PF15598
Immunity protein 63	PF15599
Immunity protein 64	PF15600
Immunity protein 65	PF15582
Immunity protein 68	PF15583
Immunity protein 7	PF15585
Immunity protein 70	PF15601
Immunity protein 71	PF15602
Immunity protein 72	PF15584
Immunity protein 74	PF15603
Immunity protein 8	PF15586
Immunity protein 9	PF15587
Immunity protein Imm1	PF14430
Immunity protein Imm2	PF14426
Immunity protein Imm3	PF14425
Immunity protein Imm5	PF14423
Immunity protein Imm6	PF14434
Immunogenic region of nsp2 protein of arterivirus polyprotein	PF14757
Immunoglobulin A1 protease	PF02395
Immunoglobulin C1-set domain	PF07654
Immunoglobulin C2-set domain	PF05790
Immunoglobulin I-set domain	PF07679
Immunoglobulin J chain	PF15097
Immunoglobulin V-set domain	PF07686
Immunoglobulin domain	PF00047
Immunoglobulin domain	PF13895
Immunoglobulin domain	PF13927
Immunoglobulin-like domain of bacterial spore germination	PF10648
Immunoreceptor tyrosine-based activation motif	PF02189
Immunoreceptor tyrosine-based activation motif	PF10538
Imp-YgjV	PF10688
ImpA, N-terminal, type VI secretion system	PF06812
ImpA_N	PF06812
ImpE	PF07024
ImpE protein	PF07024
Importin beta binding domain	PF01749
Importin-beta N-terminal domain	PF03810
InaF-motif	PF15018
Inactive transglutaminase fused to 7 transmembrane helices	PF14400
IncA	PF04156
IncA protein	PF04156
IncFII RepA protein family	PF02387
IncFII_repA	PF02387
Inclusion body protein	PF12306
Increased loss of mitochondrial DNA protein 1	PF10311
Indigoidine synthase A like protein	PF04227
Indigoidine_A	PF04227
Indole-3-glycerol phosphate synthase	PF00218
Indoleamine 2,3-dioxygenase	PF01231
Infectious hypodermal and haematopoietic necrosis virus, capsid	PF16530
Infectious salmon anaemia virus haemagglutinin	PF06215
Influenza A Proapoptotic protein	PF11986
Influenza B matrix protein 2 (BM2)	PF04772
Influenza B non-structural protein (NS1)	PF02942
Influenza C hemagglutinin stalk	PF08720
Influenza C non-structural protein (NS1)	PF03506
Influenza C non-structural protein (NS2)	PF03555
Influenza C virus M1 protein	PF03026
Influenza C virus M2 protein	PF03021
Influenza Matrix protein (M1)	PF00598
Influenza Matrix protein (M1) C-terminal domain	PF08289
Influenza Matrix protein (M2)	PF00599
Influenza RNA-dependent RNA polymerase subunit PA	PF00603
Influenza RNA-dependent RNA polymerase subunit PB1	PF00602
Influenza RNA-dependent RNA polymerase subunit PB2	PF00604
Influenza non-structural protein (NS1)	PF00600
Influenza non-structural protein (NS2)	PF00601
Influenza virus nucleoprotein	PF00506
Inh	PF02974
Inheritance of peroxisomes protein 1	PF12634
Inhibitor of Apoptosis domain	PF00653
Inhibitor of apoptosis-promoting Bax1	PF01027
Inhibitor of glucose uptake transporter SgrT	PF15894
Inhibitor of growth proteins N-terminal histone-binding	PF12998
Inhibitor of sigma-G Gin	PF10764
Inhibitor of vertebrate lysozyme (Ivy)	PF08816
Inhibitor_G39P	PF11417
Inhibitor_I10	PF12559
Inhibitor_I24	PF10465
Inhibitor_I29	PF08246
Inhibitor_I34	PF10466
Inhibitor_I36	PF03995
Inhibitor_I42	PF09394
Inhibitor_I48	PF10467
Inhibitor_I53	PF11714
Inhibitor_I66	PF16850
Inhibitor_I67	PF11405
Inhibitor_I68	PF10468
Inhibitor_I69	PF13734
Inhibitor_I71	PF12628
Inhibitor_I78	PF11720
Inhibitor_I9	PF05922
Inhibitor_Mig-6	PF11555
Init_tRNA_PT	PF04179
Initiation factor 2 subunit family	PF01008
Initiation factor eIF2 gamma, C terminal	PF09173
Initiator Replication protein	PF01051
Initiator binding protein 39 kDa	PF11422
Inj_translocase	PF16928
Innate_immun	PF12782
Inner centromere protein, ARK binding region	PF03941
Inner membrane complex protein	PF12314
Inner membrane component domain	PF03733
Inner membrane component of T3SS, cytoplasmic domain	PF16697
Inner membrane component of T3SS, periplasmic domain	PF16693
Inner membrane protein CreD	PF06123
Inner membrane protein YlaC	PF10777
Inner membrane protein import complex subunit Tim54	PF11711
Inner spore coat protein D	PF11122
Innexin	PF00876
Innexin	PF00876
Ino80_Iec3	PF14612
Inorganic H+ pyrophosphatase	PF03030
Inorganic phosphate transporter Pho86	PF11124
Inorganic pyrophosphatase	PF00719
Inos-1-P_synth	PF01658
Inosine-uridine preferring nucleoside hydrolase	PF01156
Inositol 1, 3, 4-trisphosphate 5/6-kinase	PF05770
Inositol 1,4,5-trisphosphate/ryanodine receptor	PF08709
Inositol hexakisphosphate	PF14566
Inositol monophosphatase family	PF00459
Inositol phosphatase	PF12456
Inositol phospholipid synthesis and fat-storage-inducing TM	PF10261
Inositol polyphosphate 5-phosphatase clathrin binding domain	PF16726
Inositol polyphosphate kinase	PF03770
Inositol-pentakisphosphate 2-kinase	PF06090
Inositol_P	PF00459
Inositolphosphorylceramide synthase subunit Kei1	PF08552
Inovirus G7P protein	PF17091
Inp1	PF12634
Ins134_P3_kin	PF05770
Ins145_P3_rec	PF08709
InsA C-terminal domain	PF12759
InsA N-terminal domain	PF03811
Ins_P5_2-kin	PF06090
Ins_allergen_rp	PF06757
Ins_beta	PF03488
Inscuteable LGN-binding domain	PF16748
Insect allergen related repeat, nitrile-specifier detoxification	PF06757
Insect antifreeze protein repeat	PF02420
Insect antimicrobial peptide, stomoxyn	PF11585
Insect cuticle protein	PF00379
Insect kinin peptide	PF08260
Insect pheromone-binding family, A10/OS-D	PF03392
Insecticidal Crystal Toxin, P42	PF05431
Insecticide toxin TcdB middle/C-terminal region	PF12255
Insecticide toxin TcdB middle/N-terminal region	PF12256
Insertion element 4 transposase N-terminal	PF13006
Insulin	PF00049
Insulin growth factor-like family	PF14653
Insulin-induced protein (INSIG)	PF07281
Insulin-like growth factor II E-peptide	PF08365
Insulin-like growth factor binding protein	PF00219
Insulin-resistance promoting peptide in skeletal muscle	PF11037
Insulin/IGF/Relaxin family	PF00049
Insulinase (Peptidase family M16)	PF00675
Integral membrane protein (DUF2244)	PF10003
Integral membrane protein (intg_mem_TP0381)	PF09529
Integral membrane protein DUF106	PF01956
Integral membrane protein DUF92	PF01940
Integral membrane protein S linking to the trans Golgi network	PF09801
Integral membrane protein TerC family	PF03741
Integral peroxisomal membrane peroxin	PF06398
Integrase	PF12835
Integrase DNA binding domain	PF00552
Integrase Zinc binding domain	PF02022
Integrase core domain	PF00665
Integrase core domain	PF13333
Integrase core domain	PF13683
Integrase_1	PF12835
Integrase_AP2	PF14657
Integrase_DNA	PF02920
Integrase_Zn	PF02022
Integrator complex subunit 2	PF14750
Integrator complex subunit 5 C-terminus	PF14838
Integrator complex subunit 5 N-terminus	PF14837
Integrin alpha	PF08441
Integrin alpha cytoplasmic region	PF00357
Integrin beta cytoplasmic domain	PF08725
Integrin beta tail domain	PF07965
Integrin, beta chain	PF00362
Integrin-alpha FG-GAP repeat-containing protein 2	PF15907
Integrin_B_tail	PF07965
Integrin_alpha	PF00357
Integrin_alpha2	PF08441
Integrin_b_cyt	PF08725
Integrin_beta	PF00362
Integron-associated effector binding protein	PF14526
Intein splicing domain	PF14890
Intein_splicing	PF14890
Inter-alpha-trypsin inhibitor heavy chain C-terminus	PF06668
Interactor of ZYG-11	PF05884
Intercellular adhesion molecule (ICAM), N-terminal domain	PF03921
Interfer-bind	PF09294
Interferon	PF00143
Interferon alpha/beta domain	PF00143
Interferon gamma	PF00714
Interferon gamma receptor (IFNGR1)	PF07140
Interferon regulatory factor 2-binding protein zinc finger	PF11261
Interferon regulatory factor transcription factor	PF00605
Interferon-alpha/beta receptor, fibronectin type III	PF09294
Interferon-induced 35 kDa protein (IFP 35) N-terminus	PF07334
Interferon-induced 6-16 family	PF06140
Interferon-induced transmembrane protein	PF04505
Interferon-inducible GTPase (IIGP)	PF05049
Interferon-regulatory factor 3	PF10401
Interferon-related developmental regulator (IFRD)	PF05004
Interferon-related protein conserved region	PF04836
Interleukin 10	PF00726
Interleukin 11	PF07400
Interleukin 15	PF02372
Interleukin 17 receptor D	PF16578
