11p Partial Monosomy Syndrome	D017624
Neurologic Degenerative Conditions	D019636
Neurologic Degenerative Disease	D019636
Neurologic Degenerative Diseases	D019636
Neurologic Disease, Azorean	D017827
Neurologic Disease, Degenerative	D019636
Neurologic Diseases, Degenerative	D019636
Neurologic Disorder	D009422
Neurologic Disorder, Degenerative	D019636
Neurologic Disorders	D009422
Neurologic Disorders, Degenerative	D019636
Neurologic Gait Disorder	D020233
Neurologic Gait Disorders	D020233
Neurologic Gait Dysfunction	D020233
Neurologic Gait Dysfunctions	D020233
Neurologic Lead Poisoning	D020263
Neurologic Locomotion Disorder	D020233
Neurologic Locomotion Disorders	D020233
Neurologic Manifestation	D009461
Neurologic Manifestations	D009461
Neurologic Mercurialism	D020262
Neurologic Mercury Poisoning	D020262
Neurologic Plumbism	D020263
Neurologic Saturnism, Adult	D020265
Neurologic Saturnism, Childhood	D020264
Neurologic Signs and Symptoms	D009461
Neurologic Syndrome, Paraneoplastic	D020361
Neurologic Syndromes, Paraneoplastic	D020361
Neurolymphomatoses	D000077162
Neurolymphomatosis	D000077162
Neuroma	D009463
Neuroma, Acoustic	D009464
Neuroma, Intermetatarsal	D000070607
Neuroma, Morton	D000070607
Neuroma, Morton's	D000070607
Neuroma, Plexiform	D018318
Neuromas	D009463
Neuromas, Acoustic	D009464
Neuromas, Intermetatarsal	D000070607
Neuromas, Plexiform	D018318
Neuroma Syndrome, Mucosal	D018814
Neuromata, Mucosal, With Endocrine Tumors	D018814
Neuromuscular Disease	D009468
Neuromuscular Diseases	D009468
Neuromuscular Junction Disease	D020511
Neuromuscular Junction Diseases	D020511
Neuromuscular Junction Disorder	D020511
Neuromuscular Junction Disorders	D020511
Neuromuscular Manifestation	D020879
Neuromuscular Manifestations	D020879
Neuromuscular Signs and Symptoms	D020879
Neuromuscular Transmission Disorder	D020511
Neuromuscular Transmission Disorders	D020511
Neuromyelitis Optica	D009471
Neuromyelitis Optica, Devic	D009471
Neuromyelitis Optica, Devic's	D009471
Neuromyelitis Optica (NMO) Spectrum Disorder	D009471
Neuromyelitis Optica (NMO) Spectrum Disorders	D009471
Neuromyelitis Opticas, Devic	D009471
Neuromyelitis Optica Spectrum Disorder	D009471
Neuromyelitis Optica Spectrum Disorders	D009471
Neuronal Ceroid-Lipofuscinoses	D009472
Neuronal Ceroid Lipofuscinoses	D009472
Neuronal Ceroid Lipofuscinosis	D009472
Neuronal Ceroid-Lipofuscinosis	D009472
Neuronal Cholesterol Lipidoses	D052536
Neuronal Cholesterol Lipidosis	D052536
Neuronal Migration Disorder	D054081
Neuronal Migration Disorders	D054081
Neuron Degeneration	D009410
Neuron Degenerations	D009410
Neuron Disease, Motor	D016472
Neuron Diseases, Motor	D016472
Neuronitides, Vestibular	D020338
Neuronitis, Vestibular	D020338
Neuropathic Amyloidoses, Hereditary	D028227
Neuropathic Amyloidosis, Hereditary	D028227
Neuropathic Bladder	D001750
Neuropathic Pain	D009437
Neuropathic Pains	D009437
Neuropathies, Acute Autoimmune	D020275
Neuropathies, Alcoholic	D020269
Neuropathies, Alcohol-Induced Peripheral	D020269
Neuropathies, Amyloid	D017772
Neuropathies, Brachial Plexus	D020516
Neuropathies, Cranial	D003389
Neuropathies, Diabetic	D003929
Neuropathies, Experimental Autoimmune	D009444
Neuropathies, Facial	D005155
Neuropathies, Familial Amyloid	D028227
Neuropathies, Hereditary Motor and Sensory	D015417
Neuropathies, Hereditary Sensory and Autonomic	D009477
Neuropathies, Internal Popliteal	D020429
Neuropathies, Ischemic Optic	D018917
Neuropathies, Medial Popliteal	D020429
Neuropathies, Oculomotor	D015840
Neuropathies, Optic	D009901
Neuropathies, Paraneoplastic	D020364
Neuropathies, Paraneoplastic Peripheral	D020364
Neuropathies, Posterior Tibial	D020429
Neuropathies, Pudendal	D060545
Neuropathies, Sciatic	D020426
Neuropathies, Shoulder Girdle	D020968
Neuropathies, Shoulder-Girdle	D020968
Neuropathies, Small Fiber	D000071075
Neuropathies, Small Fibre	D000071075
Neuropathies, Tibial	D020429
Neuropathies, Traumatic Accessory	D061227
Neuropathies, Traumatic Cranial	D020209
Neuropathies, Traumatic Facial	D020220
Neuropathies, Traumatic Glossopharyngeal	D061287
Neuropathies, Traumatic Hypoglossal	D061228
Neuropathies, Traumatic Laryngeal	D061224
Neuropathies, Traumatic Oculomotor	D061220
Neuropathies, Traumatic Olfactory	D061219
Neuropathies, Traumatic Optic	D020221
Neuropathies, Traumatic Trigeminal	D061221
Neuropathies, Traumatic Trochlear	D061247
Neuropathies, Traumatic Vagus	D061223
Neuropathies, Traumatic Vestibulocochlear	D061285
Neuropathies, Trigeminal	D020433
Neuropathies, Trochlear	D020432
Neuropathies, Ulnar	D020424
Neuropathies, Vagus	D020421
Neuropathy, Acute Autoimmune	D020275
Neuropathy, Alcoholic	D020269
Neuropathy, Alcohol-Induced Peripheral	D020269
Neuropathy, Amyloid	D017772
Neuropathy, Brachial Plexus	D020516
Neuropathy, Cranial	D003389
Neuropathy, Diabetic	D003929
Neuropathy, Experimental Autoimmune	D009444
Neuropathy, Facial	D005155
Neuropathy, Familial Amyloid	D028227
Neuropathy, Femoral	D020428
Neuropathy, Giant Axonal	D056768
Neuropathy, Giant Axonal, Autosomal Recessive	D056768
Neuropathy, Giant Axonal (GAN)	D056768
Neuropathy, Hereditary and Autonomic, Type III	D004402
Neuropathy, Hereditary Motor and Sensory, Type IV	D012035
Neuropathy, Hereditary Sensory And Autonomic, Type III	D004402
Neuropathy, Internal Popliteal	D020429
Neuropathy, Ischemic Optic	D018917
Neuropathy, Leber's Optic	D029242
Neuropathy, Medial Popliteal	D020429
Neuropathy, Median	D020423
Neuropathy, Median Nerve	D020423
Neuropathy, Oculomotor	D015840
Neuropathy, Optic	D009901
Neuropathy, Paraneoplastic	D020364
Neuropathy, Paraneoplastic Peripheral	D020364
Neuropathy, Peripheral	D010523
Neuropathy, Peroneal	D020427
Neuropathy, Posterior Tibial	D020429
Neuropathy, Pudendal	D060545
Neuropathy, Radial	D020425
Neuropathy, Sciatic	D020426
Neuropathy, Shoulder Girdle	D020968
Neuropathy, Shoulder-Girdle	D020968
Neuropathy, Small Fiber	D000071075
Neuropathy, Small Fibre	D000071075
Neuropathy, Subacute Combined Degeneration	D052879
Neuropathy, Tibial	D020429
Neuropathy, Traumatic Accessory	D061227
Neuropathy, Traumatic Cranial	D020209
Neuropathy, Traumatic Facial	D020220
Neuropathy, Traumatic Glossopharyngeal	D061287
Neuropathy, Traumatic Hypoglossal	D061228
Neuropathy, Traumatic Laryngeal	D061224
Neuropathy, Traumatic Oculomotor	D061220
Neuropathy, Traumatic Olfactory	D061219
Neuropathy, Traumatic Optic	D020221
Neuropathy, Traumatic Trigeminal	D061221
Neuropathy, Traumatic Trochlear	D061247
Neuropathy, Traumatic Vagus	D061223
Neuropathy, Traumatic Vestibulocochlear	D061285
Neuropathy, Trigeminal	D020433
Neuropathy, Trochlear	D020432
Neuropathy, Ulnar	D020424
Neuropathy, Vagus	D020421
Neuroretinoangiomatosis	D013341
Neuroretinopathies, Hereditary Optic	D029242
Neuroretinopathy, Hereditary Optic	D029242
Neuroschistosomiases	D020818
Neuroschistosomiasis	D020818
Neurosyphilis	D009494
Neurosyphilis, Tabetic	D013606
Neurotheceoma	D018321
Neurotheceomas	D018321
Neurothecoma	D018321
Neurothecomas	D018321
Neurothekeoma	D018321
Neurothekeomas	D018321
Neurotoxic Disorder	D020258
Neurotoxic Disorders	D020258
Neurotoxicity Syndrome	D020258
Neurotoxicity Syndrome, Arsenical	D020261
Neurotoxicity Syndrome, Lead	D020263
Neurotoxicity Syndrome, Lead, Adult	D020265
Neurotoxicity Syndrome, Lead, Childhood	D020264
Neurotoxicity Syndrome, Manganese	D020149
Neurotoxicity Syndrome, Mercury	D020262
Neurotoxicity Syndrome, MPTP	D020267
Neurotoxicity Syndromes	D020258
Neurotoxicity Syndromes, Arsenical	D020261
Neurotoxicity Syndromes, Lead	D020263
Neurotoxicity Syndromes, Manganese	D020149
Neurotoxicity Syndromes, Mercury	D020262
Neurotoxicity Syndromes, MPTP	D020267
Neurotoxin Disease	D020258
Neurotoxin Diseases	D020258
Neurotoxin Disorder	D020258
Neurotoxin Disorders	D020258
Neurovascular Syndrome, Thoracic Outlet	D013901
Neurovisceral Storage Disease with Vertical Supranuclear Ophthalmoplegia	D052556
Neutral Amino Acid Transport Defect	D006250
Neutral Amino Acid Transport Disorder	D006250
Neutropenia	D009503
Neutropenia, Chemotherapy-Induced Febrile	D064146
Neutropenia, Drug-Induced Febrile	D064146
Neutropenia, Febrile	D064147
Neutropenias	D009503
Neutropenias, Chemotherapy-Induced Febrile	D064146
Neutropenias, Drug-Induced Febrile	D064146
Neutropenias, Febrile	D064147
Neutropenic Enterocolitis	D044504
Neutrophilic Dermatosis, Acute Febrile	D016463
Neutrophilic Leukemia, Chronic	D015467
Neutrophilic Leukemias, Chronic	D015467
Nevi	D009506
Nevi and Melanomas	D018326
Nevi, Atrial Myxoma, Skin Myxoma, Ephelides Syndrome	D056733
Nevi, Blue	D018329
Nevi, Halo	D055882
Nevi, Intradermal	D018330
Nevi, Melanocytic	D009508
Nevi, Pigmented	D009508
Nevi, Spindle Cell	D018331
Nevoid Basal Cell Carcinoma Syndrome	D001478
Nevoxanthoendothelioma	D014972
Nevoxanthoendotheliomas	D014972
Nevus	D009506
Nevus, Blue	D018329
Nevus, Epithelioid and Spindle Cell	D018332
Nevus Flammeus	D019339
Nevus, Halo	D055882
Nevus, Intradermal	D018330
Nevus, Linear Sebaceous	D054000
Nevus, Melanocytic	D009508
Nevus of Ota	D009507
Nevus, Ota's	D009507
Nevus Phakomatosis, Jadassohn	D054000
Nevus, Pigmented	D009508
Nevus, Sebaceous of Jadassohn	D054000
Nevus Sebaceus of Jadassohn	D054000
Nevus, Spindle Cell	D018331
Nevus, Spindle Cell and Epithelioid	D018332
Nevus, Spitz	D018332
Nevus Syndrome, Basal Cell	D001478
Nevus Syndrome, Dysplastic	D004416
Newborn Hemolytic Disease	D004899
Newborn Hemolytic Diseases	D004899
Newborn Transient Tachypnea	D059245
Newborn Transient Tachypneas	D059245
Newcastle Disease	D009521
NF1 (Neurofibromatosis 1)	D009456
NF2 (Neurofibromatosis 2)	D016518
NF2s (Neurofibromatosis 2)	D016518
Nicolau Livedoid Dermatitis	D065148
Nicolau Livedoid Syndrome	D065148
Nicolau's Livedoid Syndrome	D065148
Nicolaus Livedoid Syndrome	D065148
Nicolau's Syndrome	D065148
Nicolaus Syndrome	D065148
Nicolau Syndrome	D065148
NIDDM	D003924
Nidovirales Infections	D030341
Niemann-Pick Disease	D009542
Niemann Pick Disease	D009542
Niemann-Pick Disease, Acute Neuronopathic Form	D052536
Niemann Pick Disease, Acute Neuronopathic Form	D052536
Niemann-Pick Disease, Acute Neurovisceral Form	D052536
Niemann Pick Disease, Acute Neurovisceral Form	D052536
Niemann-Pick Disease, Chronic Neuronopathic Form	D052556
Niemann Pick Disease, Chronic Neuronopathic Form	D052556
Niemann-Pick Disease, Classical	D052536
Niemann-Pick Disease, Neuronopathic Type	D052536
Niemann Pick Disease, Neuronopathic Type	D052536
Niemann-Pick Disease, Non-Neuronopathic Type	D052537
Niemann Pick Disease, Non Neuronopathic Type	D052537
Niemann-Pick Diseases	D009542
Niemann Pick Diseases	D009542
Niemann-Pick Disease, Type A	D052536
Niemann Pick Disease, Type A	D052536
Niemann-Pick Disease, Type B	D052537
Niemann Pick Disease, Type B	D052537
Niemann-Pick Disease, Type C	D052556
Niemann Pick Disease, Type C	D052556
Niemann-Pick Disease, Visceral	D052537
Niemann Pick Disease, Visceral	D052537
Niemann-Pick Disease with Cholesterol Esterification Block	D052556
Niemann Pick Disease with Cholesterol Esterification Block	D052556
Niemann-Pick Disease without Sphingomyelinase Deficiency	D052556
Niemann Pick Disease without Sphingomyelinase Deficiency	D052556
Niemann-Pick's Disease Type A	D052536
Niemann Pick's Disease Type A	D052536
Niemann-Pick's Disease Type B	D052537
Niemann Pick's Disease Type B	D052537
Niemann-Pick's Disease Type C	D052556
Niemann Pick's Disease Type C	D052556
Night Blindness	D009755
Night Terrors	D020184
Nighttime Urinary Incontinence	D053206
Nigrican, Acanthosis	D000052
Nigricans, Acanthosis	D000052
Nigrospinodentatal Degeneration	D017827
Nigrospinodentatal Degenerations	D017827
Nijmegen Breakage Syndrome	D049932
Ninth Cranial Nerve Diseases	D020435
Ninth Cranial Nerve Injuries	D061287
Ninth Cranial Nerve Injury	D061287
Ninth-Nerve Palsies, Traumatic	D061287
Ninth-Nerve Palsy, Traumatic	D061287
Ninth Nerve Palsy, Traumatic	D061287
Ninth-Nerve Trauma	D061287
Ninth Nerve Trauma	D061287
Ninth-Nerve Traumas	D061287
Nissl Degeneration	D012183
NK-T-Cell Lymphoma, Extranodal	D054391
NK-T-Cell Lymphomas, Extranodal	D054391
N-Laurylsphingosine Deacylase Deficiencies	D055577
N-Laurylsphingosine Deacylase Deficiency	D055577
N Laurylsphingosine Deacylase Deficiency	D055577
NMO Spectrum Disorder	D009471
NMO Spectrum Disorders	D009471
NMS (Neuroleptic Malignant Syndrome)	D009459
NMSs (Neuroleptic Malignant Syndrome)	D009459
Nocardia Infection	D009617
Nocardia Infections	D009617
Nocardioses	D009617
Nocardiosis	D009617
Nociceptive Pain	D059226
Nociceptive Pains	D059226
Nocturia	D053158
Nocturnal Bruxism	D020186
Nocturnal Bruxisms	D020186
Nocturnal Enuresis	D053206
Nocturnal Myoclonus Syndrome	D020189
Nocturnal Myoclonus Syndromes	D020189
Nocturnal Paroxysmal Dystonia	D020183
Nocturnal Paroxysmal Dystonias	D020183
Nocturnal Teeth Grinding Disorder	D020186
Nocturnal Wandering	D013009
Nodding Syndrome	D064128
Nodding Syndromes	D064128
Nodose Hair	D056734
Nodose Hairs	D056734
Nodular Goiter	D006044
Nodular Goiters	D006044
Nodular Heterotopia, Periventricular	D054091
Nodular Heterotopias, Periventricular	D054091
Nodular Lymphoma	D008224
Nodular Lymphomas	D008224
Nodular Nonsuppurative Panniculitides	D010201
Nodular Nonsuppurative Panniculitis	D010201
Nodule, Rheumatic	D012215
Nodule, Rheumatoid	D012218
Nodule, Sister Joseph's	D058288
Nodule, Solitary Pulmonary	D003074
Nodules, Rheumatic	D012215
Nodules, Rheumatoid	D012218
Nodules, Sister Joseph's	D058288
Nodules, Solitary Pulmonary	D003074
Nodules, Thyroid	D016606
Nodule, Thyroid	D016606
Noise-Induced Hearing Loss	D006317
Noma	D009625
Nomas	D009625
Nominal Aphasia	D000849
Nominal Dysphasia	D000849
Nominal Dysphasias	D000849
Nonaccidental Trauma in Children	D001497
Nonalcoholic Fatty Liver	D065626
Non-alcoholic Fatty Liver Disease	D065626
Non alcoholic Fatty Liver Disease	D065626
Nonalcoholic Fatty Liver Disease	D065626
Nonalcoholic Fatty Livers	D065626
Nonbullous Congenital Ichthyosiform Erythroderma	D017490
Nonbullous Congenital Lamellar Ichthyosis	D017490
Nonbullous Erythroderma Ichthyosiforme	D017490
Nonbullous Erythroderma Ichthyosiformes	D017490
Nonchromaffin Paraganglioma	D010236
Non-Chromaffin Paraganglioma	D010236
Nonchromaffin Paragangliomas	D010236
Non-Chromaffin Paragangliomas	D010236
Noncommunicable Disease	D000073296
Non-communicable Disease	D000073296
Noncommunicable Diseases	D000073296
Non-communicable Diseases	D000073296
Non communicable Diseases	D000073296
Nondisjunction, Genetic	D009630
Non-Disjunction, Genetic	D009630
Non Disjunction, Genetic	D009630
Nondisjunctions, Genetic	D009630
Non-Disjunctions, Genetic	D009630
Nonenteropathic HUS	D065766
Nonenteropathic HUSs	D065766
Non-Filarial Lymphedema	D062846
Non Filarial Lymphedema	D062846
Non-Filarial Lymphedemas	D062846
Nonfluent Aphasia	D001039
Nonfluent Aphasia, Progressive	D057178
Nonfluent Aphasias, Progressive	D057178
Non-fluent Primary Progressive Aphasia	D057178
Non fluent Primary Progressive Aphasia	D057178
Non-gestational Choriocarcinoma	D031954
Non gestational Choriocarcinoma	D031954
Non-gestational Choriocarcinomas	D031954
Non-Hodgkin Lymphoma	D008228
Non Hodgkin Lymphoma	D008228
Non-Hodgkins Lymphoma	D008228
Nonhodgkins Lymphoma	D008228
Non-Hodgkin's Lymphoma	D008228
Non Hodgkin's Lymphoma	D008228
Nonhodgkin's Lymphoma	D008228
Non-infectious Disease	D000073296
Noninfectious Disease	D000073296
Non-infectious Diseases	D000073296
Non infectious Diseases	D000073296
Noninfectious Diseases	D000073296
Non-Infective Endocarditides	D059905
Non-Infective Endocarditis	D059905
Non Infective Endocarditis	D059905
Noninfiltrating Intraductal Carcinoma	D002285
Noninfiltrating Intraductal Carcinomas	D002285
Non-Insulin-Dependent Diabetes Mellitus	D003924
Noninsulin-Dependent Diabetes Mellitus	D003924
Noninsulin Dependent Diabetes Mellitus	D003924
Nonketotic Coma, Hyperosmolar	D006944
Nonketotic Comas, Hyperosmolar	D006944
Nonketotic Hyperglycemic Coma	D006944
Nonketotic Hyperglycinemia	D020158
Non-ketotic Hyperglycinemia	D020158
Non ketotic Hyperglycinemia	D020158
Nonketotic Hyperglycinemias	D020158
Non-ketotic Hyperglycinemias	D020158
Nonketotic Hyperosmolar Coma	D006944
Nonketotic Hyperosmolar Comas	D006944
Non-Langerhans-Cell Histiocytosis	D015616
Nonleukemic Myeloses	D055728
Nonleukemic Myelosis	D055728
Non-Lipid Reticuloendothelioses	D006646
Non-Lipid Reticuloendotheliosis	D006646
Non Lipid Reticuloendotheliosis	D006646
Nonlymphoblastic Leukemia, Acute	D015470
Nonlymphoblastic Leukemias, Acute	D015470
Nonlymphocytic Leukemia, Acute	D015470
Nonlymphocytic Leukemias, Acute	D015470
Nonocclusion	D024343
Nonodontogenic Cyst	D009631
Nonodontogenic Cysts	D009631
Nonorganic Hearing Loss	D006315
Nonpenetrating Head Injuries	D016489
Nonpenetrating Head Injury	D016489
Nonpenetrating Injuries	D014949
Nonpenetrating Injury	D014949
Nonpenetrating Wound	D014949
Nonpenetrating Wounds	D014949
Non-Progressive Myopathies, Congenital	D020914
Non Progressive Myopathies, Congenital	D020914
Non-Progressive Myopathy, Congenital	D020914
Nonreassuring Fetal Status	D005316
Non-Shiga-Like Toxin-Associated HUS	D065766
Non Shiga Like Toxin Associated HUS	D065766
Non-Shiga-Like Toxin-Associated HUSs	D065766
Nonsmall Cell Lung Cancer	D002289
Non-Small Cell Lung Cancer	D002289
Non-Small-Cell Lung Carcinoma	D002289
Non Small Cell Lung Carcinoma	D002289
Non-Small-Cell Lung Carcinomas	D002289
Nonspecific Vaginitis	D016585
Non-ST Elevated Myocardial Infarction	D000072658
Non ST Elevated Myocardial Infarction	D000072658
Non-ST-Elevation Myocardial Infarction	D000072658
Non ST Elevation Myocardial Infarction	D000072658
Non-ST-Elevation Myocardial Infarctions	D000072658
Non-Stx-Hus	D065766
Non Stx Hus	D065766
Nonsuppurative Panniculitides, Nodular	D010201
Nonsuppurative Panniculitis, Nodular	D010201
Nonsuppurative Thyroiditides, Subacute	D013968
Nonsuppurative Thyroiditis, Subacute	D013968
Nonsyndromal Microcephaly, Autosomal Recessive, with Normal Intelligence	D049932
Nonsynostotic Plagiocephaly	D049068
Non-Therapeutic Positive-Pressure Respiration	D018467
Non Therapeutic Positive Pressure Respiration	D018467
Nontherapeutic Positive-Pressure Respiration	D018467
Nontherapeutic Positive Pressure Respiration	D018467
Non-Thyroidal Illness Syndrome	D005067
Non Thyroidal Illness Syndrome	D005067
Nontropical Sprue	D002446
Nontuberculous Mycobacterium Infection	D009165
Nontuberculous Mycobacterium Infections	D009165
Nonvital Teeth	D019553
Nonvital Tooth	D019553
Noonan-Ehmke Syndrome	D009634
